quote_id,symbol_id,date_id,time_id,exchange_id,bid_price,ask_price,bid_size,ask_size,spread,mid_price,event_ts
1,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7637,48.6249,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.927000
2,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7637,46.3496,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.944000
3,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7611,46.3496,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.946000
4,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7611,46.3736,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.948000
5,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7585,46.3736,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.954000
6,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7559,46.3736,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.954000
7,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7559,46.3831,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.955000
8,BINANCE:BTCUSDT,20260331,22405,BINANCE,66306.58,66306.59,0.09944,2.34918,0.00999999999476131,66306.58499999999,2026-03-31 02:24:05.955000
9,BINANCE:BTCUSDT,20260331,22405,BINANCE,66306.58,66306.59,0.09936,2.34918,0.00999999999476131,66306.58499999999,2026-03-31 02:24:05.955000
10,BINANCE:BTCUSDT,20260331,22405,BINANCE,66306.58,66306.59,0.09944,2.34918,0.00999999999476131,66306.58499999999,2026-03-31 02:24:05.956000
11,BINANCE:BTCUSDT,20260331,22405,BINANCE,66306.58,66306.59,0.09952,2.34918,0.00999999999476131,66306.58499999999,2026-03-31 02:24:05.956000
12,BINANCE:ETHUSDT,20260331,22405,BINANCE,2015.61,2015.62,19.7559,41.6584,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:05.956000
13,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.985,41.6584,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.020000
14,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.3699,41.6584,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.021000
15,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.3371,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.021000
16,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.34314,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.021000
17,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.34918,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.021000
18,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.3699,41.6344,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.021000
19,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.3673,41.6344,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.055000
20,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.21879,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.066000
21,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.35464,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.067000
22,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.3699,41.6344,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.078000
23,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.0195,41.6344,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.163000
24,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.03,41.6344,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.169000
25,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.03,41.6482,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.171000
26,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.03,41.9812,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.213000
27,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09952,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.357000
28,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.03,41.9717,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.399000
29,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09944,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.404000
30,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.8606,41.9717,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.451000
31,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.8606,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.459000
32,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09931,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.478000
33,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09939,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.480000
34,BINANCE:BNBUSDT,20260331,22406,BINANCE,608.81,608.82,44.392,82.446,0.010000000000104592,608.815,2026-03-31 02:24:06.481000
35,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09947,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.509000
36,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09939,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.555000
37,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09947,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.555000
38,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09955,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.556000
39,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.09963,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.556000
40,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.8236,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.589000
41,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.8262,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.590000
42,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,18.8288,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.590000
43,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,17.9818,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.590000
44,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,11.2118,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.590000
45,BINANCE:BTCUSDT,20260331,22406,BINANCE,66306.58,66306.59,0.01933,2.35441,0.00999999999476131,66306.58499999999,2026-03-31 02:24:06.591000
46,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,11.2144,41.9813,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.594000
47,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,11.2144,41.8823,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.594000
48,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,11.217,41.8823,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.594000
49,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66306.49,8e-05,0.23972,1.3000000000029104,66305.84,2026-03-31 02:24:06.594000
50,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66306.49,8e-05,0.63972,1.3000000000029104,66305.84,2026-03-31 02:24:06.595000
51,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66306.49,8e-05,0.74964,1.3000000000029104,66305.84,2026-03-31 02:24:06.595000
52,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66306.49,8e-05,0.86796,1.3000000000029104,66305.84,2026-03-31 02:24:06.595000
53,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66306.29,8e-05,0.49585,1.0999999999912689,66305.73999999999,2026-03-31 02:24:06.595000
54,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,11.2196,41.8823,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.602000
55,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,8e-05,0.117,0.00999999999476131,66305.195,2026-03-31 02:24:06.602000
56,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,8e-05,0.2328,0.00999999999476131,66305.195,2026-03-31 02:24:06.602000
57,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,8e-05,0.2728,0.00999999999476131,66305.195,2026-03-31 02:24:06.602000
58,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00016,0.2728,0.00999999999476131,66305.195,2026-03-31 02:24:06.603000
59,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00024,0.2728,0.00999999999476131,66305.195,2026-03-31 02:24:06.603000
60,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00032,0.2728,0.00999999999476131,66305.195,2026-03-31 02:24:06.603000
61,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00032,0.28909,0.00999999999476131,66305.195,2026-03-31 02:24:06.603000
62,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.0004,0.28909,0.00999999999476131,66305.195,2026-03-31 02:24:06.603000
63,BINANCE:ETHUSDT,20260331,22406,BINANCE,2015.61,2015.62,9.65,41.8823,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:06.603000
64,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.0004,0.75526,0.00999999999476131,66305.195,2026-03-31 02:24:06.604000
65,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.0004,0.79216,0.00999999999476131,66305.195,2026-03-31 02:24:06.604000
66,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00048,0.79216,0.00999999999476131,66305.195,2026-03-31 02:24:06.604000
67,BINANCE:BTCUSDT,20260331,22406,BINANCE,66305.19,66305.2,0.00056,0.79216,0.00999999999476131,66305.195,2026-03-31 02:24:06.604000
